"","retail","date","grocery","parks","transit","workplace","residential"
"1",35,"2020-02-21",8,161,-7,-59,11
"2",55,"2020-02-28",39,218,53,33,-4
"3",65,"2020-03-06",51,117,55,40,-1
"4",58,"2020-03-13",80,150,25,25,4
"5",-98,"2020-03-20",126,379,-176,-187,66
"6",-362,"2020-03-27",-152,5,-391,-349,124
"7",-358,"2020-04-03",-176,-121,-436,-371,130
"8",-370,"2020-04-10",-196,-175,-459,-399,136
"9",-376,"2020-04-17",-225,-196,-466,-396,135
"10",-341,"2020-04-24",-194,-188,-468,-364,126
"11",-299,"2020-05-01",-150,-111,-440,-354,119
"12",-256,"2020-05-08",-120,410,-417,-339,113
"13",-227,"2020-05-15",-78,439,-416,-322,103
"14",-183,"2020-05-22",-55,846,-364,-321,90
"15",-135,"2020-05-29",-19,1255,-306,-268,78
"16",-137,"2020-06-05",-28,940,-319,-237,78
"17",-90,"2020-06-12",-23,905,-322,-217,68
"18",-39,"2020-06-19",9,1708,-274,-194,49
"19",-12,"2020-06-26",24,1230,-265,-182,42
"20",-29,"2020-07-03",13,1279,-268,-227,43
"21",-6,"2020-07-10",28,961,-240,-184,35
"22",-5,"2020-07-17",24,1466,-239,-180,37
"23",15,"2020-07-24",46,863,-206,-179,28
"24",16,"2020-07-31",46,1087,-208,-185,27
"25",-4,"2020-08-07",36,1212,-219,-216,24
"26",4,"2020-08-14",32,1309,-206,-183,21
"27",3,"2020-08-21",34,223,-208,-181,24
"28",10,"2020-08-28",38,0,-196,-176,19
"29",2,"2020-09-04",30,0,-201,-180,24
"30",-24,"2020-09-11",16,101,-213,-213,22
"31",-14,"2020-09-18",10,813,-208,-146,18
"32",-54,"2020-09-25",7,996,-259,-158,38
"33",-24,"2020-10-02",23,958,-224,-121,24
"34",-24,"2020-10-09",30,850,-221,-124,24
"35",-102,"2020-10-16",-21,907,-260,-171,35
"36",-27,"2020-10-23",23,755,-218,-116,33
"37",-17,"2020-10-30",34,537,-233,-112,32
"38",-60,"2020-11-06",1,334,-244,-123,37
"39",-56,"2020-11-13",0,648,-260,-161,45
"40",-43,"2020-11-20",14,290,-264,-119,42
"41",-73,"2020-11-27",21,252,-291,-128,51
"42",-111,"2020-12-04",15,355,-306,-145,58
"43",-114,"2020-12-11",20,229,-303,-144,57
"44",-102,"2020-12-18",44,222,-305,-149,61
"45",-98,"2020-12-25",106,311,-325,-266,70
"46",-194,"2021-01-01",-80,464,-400,-352,94
"47",-167,"2021-01-08",-51,60,-360,-187,76
"48",-146,"2021-01-15",-37,236,-341,-127,57
"49",-161,"2021-01-22",-52,178,-346,-140,59
"50",-139,"2021-01-29",-31,179,-342,-138,55
"51",-154,"2021-02-05",-42,188,-366,-146,61
"52",-155,"2021-02-12",-21,96,-366,-163,67
"53",-118,"2021-02-19",18,264,-354,-171,64
"54",-106,"2021-02-26",-1,164,-339,-112,55
"55",-111,"2021-03-05",7,229,-340,-104,56
"56",-61,"2021-03-12",28,483,-310,-95,45
"57",-69,"2021-03-19",-2,226,-345,-172,64
"58",-4,"2021-03-26",63,753,-279,-83,37
"59",-34,"2021-04-02",54,400,-333,-140,53
"60",-90,"2021-04-09",-9,473,-331,-132,44
"61",-10,"2021-04-16",58,709,-277,-77,35
"62",-32,"2021-04-23",70,557,-293,-89,44
"63",-144,"2021-04-30",19,878,-356,-192,76
"64",-177,"2021-05-07",5,789,-385,-236,88
"65",-192,"2021-05-14",2,770,-399,-241,93
"66",-134,"2021-05-21",63,1207,-359,-221,83
"67",-133,"2021-05-28",70,1209,-395,-243,88
"68",-70,"2021-06-04",119,1085,-368,-153,63
